date,category,product,quantity,amount
2026-08-15,数码,无线耳机,120,28800.00
2026-08-15,数码,智能手表,80,48000.00
2026-08-15,数码,蓝牙音箱,60,9000.00
2026-08-15,家电,空气净化器,45,40500.00
2026-08-15,家电,电饭煲,90,16200.00
2026-08-15,家电,吸尘器,35,26250.00
2026-08-15,服饰,运动T恤,200,19900.00
2026-08-15,服饰,牛仔裤,110,27500.00
2026-08-15,服饰,休闲外套,50,15000.00
2026-08-15,食品,坚果礼盒,150,22500.00
2026-08-15,食品,巧克力,240,9600.00
2026-08-15,食品,咖啡豆,130,16900.00
2026-08-16,数码,无线耳机,140,33600.00
2026-08-16,数码,智能手表,95,57000.00
2026-08-16,数码,蓝牙音箱,72,10800.00
2026-08-16,数码,平板电脑,25,60000.00
2026-08-16,家电,空气净化器,52,46800.00
2026-08-16,家电,电饭煲,85,15300.00
2026-08-16,家电,吸尘器,41,30750.00
2026-08-16,服饰,运动T恤,230,22885.00
2026-08-16,服饰,牛仔裤,98,24500.00
2026-08-16,服饰,休闲外套,60,18000.00
2026-08-16,食品,坚果礼盒,168,25200.00
2026-08-16,食品,巧克力,260,10400.00
2026-08-16,食品,咖啡豆,145,18850.00
2026-08-16,食品,蛋白棒,300,5400.00
2026-08-16,数码,无线耳机,5,
2026-08-16,食品,巧克力,,
