date,category,product_name,quantity,amount
2026-07-01,电子产品,无线耳机,30,8970
2026-07-02,电子产品,智能手表,12,5998
2026-07-03,电子产品,蓝牙音箱,25,4995
2026-07-05,服饰,休闲T恤,80,3980
2026-07-06,服饰,运动鞋,45,6745
2026-07-07,服饰,牛仔裤,60,6540
2026-07-08,食品饮料,咖啡豆,120,5760
2026-07-09,食品饮料,坚果礼盒,70,4890
2026-07-10,食品饮料,酸奶,200,4000
2026-07-11,家居用品,香薰蜡烛,90,4410
2026-07-12,家居用品,收纳箱,40,3196
2026-07-13,家居用品,抱枕,65,3255
2026-07-15,电子产品,无线耳机,40,11960
2026-07-16,电子产品,智能手表,10,4990
2026-07-17,电子产品,蓝牙音箱,30,6000
2026-07-18,服饰,休闲T恤,90,4490
2026-07-19,服饰,运动鞋,55,8245
2026-07-20,服饰,牛仔裤,70,7630
2026-07-21,食品饮料,咖啡豆,150,7200
2026-07-22,食品饮料,坚果礼盒,80,5600
2026-07-23,食品饮料,酸奶,220,4400
2026-07-24,家居用品,香薰蜡烛,100,4900
2026-07-25,家居用品,收纳箱,50,3995
2026-07-26,家居用品,抱枕,75,3750
2026-07-28,电子产品,无线耳机,35,10465
2026-07-29,电子产品,智能手表,14,6986
2026-07-30,电子产品,蓝牙音箱,28,5590
2026-07-31,服饰,休闲T恤,85,4235
2026-08-01,电子产品,无线耳机,45,13455
2026-08-02,电子产品,智能手表,18,8982
2026-08-03,电子产品,蓝牙音箱,32,6400
2026-08-04,服饰,休闲T恤,95,4745
2026-08-05,服饰,运动鞋,60,8990
2026-08-06,服饰,牛仔裤,75,8175
2026-08-07,食品饮料,咖啡豆,160,7680
2026-08-08,食品饮料,坚果礼盒,90,6300
2026-08-09,食品饮料,酸奶,240,4800
2026-08-10,家居用品,香薰蜡烛,110,5390
2026-08-11,家居用品,收纳箱,55,4394
2026-08-12,家居用品,抱枕,80,4000
2026-08-13,电子产品,无线耳机,50,14950
2026-08-14,电子产品,智能手表,20,9980
2026-08-15,电子产品,蓝牙音箱,38,7600
2026-08-16,服饰,休闲T恤,100,5000
2026-08-17,服饰,运动鞋,65,9745
2026-08-18,服饰,牛仔裤,80,8720
2026-08-19,食品饮料,咖啡豆,175,8400
2026-08-20,食品饮料,坚果礼盒,95,6650
2026-08-21,食品饮料,酸奶,260,5200
2026-08-22,家居用品,香薰蜡烛,120,5880
2026-08-23,家居用品,收纳箱,60,4794
2026-08-24,家居用品,抱枕,85,4250
2026-08-25,电子产品,无线耳机,55,16445
2026-08-26,电子产品,智能手表,22,10978
2026-08-27,电子产品,蓝牙音箱,40,8000
2026-08-28,服饰,休闲T恤,105,5245
2026-08-29,服饰,运动鞋,70,10490
2026-08-30,服饰,牛仔裤,85,9265
2026-08-31,食品饮料,咖啡豆,185,8880
2026-07-04,电子,,,,10
2026-07-27,食品饮料,咖啡豆,,5750
2026-08-04,服饰,休闲T恤,120,
2026-08-15,家居用品,香薰蜡烛,not_a_number,5390
2026-08-16,电商,,
2026-07-14,食品饮料,咖啡豆,150,7500
